Genre,TrackCount,PrimaryFamily,SecondaryFamilies,PrimaryWeight,PrimaryConfidence,ReviewReasons,PriorityScore
metalcore,169,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9107
traditional country,74,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.9064
japanese singer-songwriter,168,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.9039
alt z,363,,,,,no_family | no_related_styles | no_transition_styles,5.8905
trap soul,413,hip_hop,rnb_soul,0.45,fallback,low_primary_weight | low_confidence,5.8883
fantasy,361,,,,,no_family | no_related_styles | no_transition_styles,5.885
contemporary christian,164,gospel_spiritual,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.8763
musicals,164,soundtrack_stage,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.8763
nu disco,357,,,,,no_family | no_related_styles | no_transition_styles,5.8739
hypertechno,163,techno,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.8693
3rd gen k-pop,405,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence,5.8692
grunge,404,rock,,0.45,fallback,low_primary_weight | low_confidence,5.8668
brega funk,161,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.8552
trap boricua,391,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.8349
pov: indie,339,,,,,no_family | no_related_styles | no_transition_styles,5.8224
indian indie,333,,,,,no_family | no_related_styles | no_transition_styles,5.8046
pop. alternative,127,pop,,0.45,fallback,low_primary_weight | low_confidence | broad_or_marketing_tag,5.7948
parlophone,329,,,,,no_family | no_related_styles | no_transition_styles,5.7926
classical crossover,68,classical,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.7924
nova mpb,152,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.7894
production music,326,,,,,no_family | no_related_styles | no_transition_styles,5.7835
aor,370,rock,,0.45,fallback,low_primary_weight | low_confidence,5.7811
hk-pop,364,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence,5.7652
pop virale italiano,123,pop,,0.45,fallback,low_primary_weight | low_confidence | broad_or_marketing_tag,5.7569
adult standards,317,,,,,no_family | no_related_styles | no_transition_styles,5.7556
rap ivoire,360,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.7544
drill francais,359,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.7517
asakaa,315,,,,,no_family | no_related_styles | no_transition_styles,5.7493
egyptian alternative,111,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,5.7378
bhangra,310,,,,,no_family | no_related_styles | no_transition_styles,5.7333
cloud rap francais,349,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.7242
g-funk,349,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.7242
malay,302,,,,,no_family | no_related_styles | no_transition_styles,5.7073
psychedelic,302,,,,,no_family | no_related_styles | no_transition_styles,5.7073
psychedelic folk,141,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.7036
garage rock revival,73,bass_music,hip_hop | rock,0.45,fallback,many_families | low_primary_weight | low_confidence,5.7012
taylor-swift,300,,,,,no_family | no_related_styles | no_transition_styles,5.7007
soundtracks,140,soundtrack_stage,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.6954
metropopolis,338,pop,,0.45,fallback,low_primary_weight | low_confidence,5.6929
jazz fusion,139,jazz_blues,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.6872
vietnamese singer-songwriter,139,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.6872
hyperpop,331,pop,,0.45,fallback,low_primary_weight | low_confidence,5.6726
classic j-pop,114,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence | broad_or_marketing_tag,5.6669
pbr & b,285,,,,,no_family | no_related_styles | no_transition_styles,5.6496
flamenco urbano,284,,,,,no_family | no_related_styles | no_transition_styles,5.6461
german indie,284,,,,,no_family | no_related_styles | no_transition_styles,5.6461
standards,284,,,,,no_family | no_related_styles | no_transition_styles,5.6461
outlaw country,133,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.6368
lazy asses,279,,,,,no_family | no_related_styles | no_transition_styles,5.6285
relaxation,279,,,,,no_family | no_related_styles | no_transition_styles,5.6285
rhymes,279,,,,,no_family | no_related_styles | no_transition_styles,5.6285
belgian edm,132,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.6282
variete francaise,278,,,,,no_family | no_related_styles | no_transition_styles,5.6249
rome indie,276,,,,,no_family | no_related_styles | no_transition_styles,5.6177
bacardi,312,house,,0.45,fallback,low_primary_weight | low_confidence,5.615
classic oklahoma country,59,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.6012
cancion melodica,271,,,,,no_family | no_related_styles | no_transition_styles,5.5995
horrorcore,267,,,,,no_family | no_related_styles | no_transition_styles,5.5847
leftfield,267,,,,,no_family | no_related_styles | no_transition_styles,5.5847
indonesian singer-songwriter,126,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.5751
nederpop,299,pop,,0.45,fallback,low_primary_weight | low_confidence,5.5735
neo mellow,264,,,,,no_family | no_related_styles | no_transition_styles,5.5735
magyar alternative,96,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,5.563
guaracha,294,latin_tropical,,0.45,fallback,low_primary_weight | low_confidence,5.5571
national folk,124,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.5568
bongo flava,288,african,,0.45,fallback,low_primary_weight | low_confidence,5.537
p-pop,284,pop,,0.45,fallback,low_primary_weight | low_confidence,5.5234
sadcore,251,,,,,no_family | no_related_styles | no_transition_styles,5.5232
breakbeat,120,bass_music,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.5194
dutch edm,120,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.5194
khaleeji iraqi,120,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.5194
turreo,282,latin_urban,,0.45,fallback,low_primary_weight | low_confidence,5.5165
taiwan indie,247,,,,,no_family | no_related_styles | no_transition_styles,5.5072
latin ballad,279,pop,,0.45,fallback,low_primary_weight | low_confidence,5.5061
indie soul,118,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.5002
neo-soul,117,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.4905
indie viet,241,,,,,no_family | no_related_styles | no_transition_styles,5.4828
sierreno-banda,116,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.4807
vinahouse,269,house,,0.45,fallback,low_primary_weight | low_confidence,5.4706
trap brasileiro,267,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.4633
alt-country,114,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.4608
turkish singer-songwriter,113,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.4508
rap genovese,263,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.4486
sophisti-pop,263,pop,,0.45,fallback,low_primary_weight | low_confidence,5.4486
techengue,261,latin_urban,,0.45,fallback,low_primary_weight | low_confidence,5.4412
arrochadeira,112,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.4407
moroccan chaabi,231,,,,,no_family | no_related_styles | no_transition_styles,5.4406
popular colombian music,260,pop,,0.45,fallback,low_primary_weight | low_confidence,5.4374
alternative hardcore,52,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.4315
classical piano,52,classical,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.4315
rap belge,258,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.4299
score,228,,,,,no_family | no_related_styles | no_transition_styles,5.4276
beat music,227,,,,,no_family | no_related_styles | no_transition_styles,5.4233
4th gen k-pop,256,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence,5.4223
indonesian indie,225,,,,,no_family | no_related_styles | no_transition_styles,5.4144
vallenato moderno,92,latin_tropical,,0.45,fallback,low_primary_weight | low_confidence | broad_or_marketing_tag,5.4133
electro-disco,109,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.4097
frauenrap,252,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.407
maskandi,252,african,,0.45,fallback,low_primary_weight | low_confidence,5.407
chinese indie,222,,,,,no_family | no_related_styles | no_transition_styles,5.4011
dangdut,222,,,,,no_family | no_related_styles | no_transition_styles,5.4011
southern soul,108,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.3992
neoperreo,244,latin_urban,,0.45,fallback,low_primary_weight | low_confidence,5.3756
pop argentino,244,pop,,0.45,fallback,low_primary_weight | low_confidence,5.3756
ndombolo,239,african,,0.45,fallback,low_primary_weight | low_confidence,5.3555
arab alternative,49,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.3518
chicha,238,latin_tropical,,0.45,fallback,low_primary_weight | low_confidence,5.3514
viral afropop,87,african,pop,0.45,fallback,low_primary_weight | low_confidence | broad_or_marketing_tag,5.3473
scandipop,236,pop,,0.45,fallback,low_primary_weight | low_confidence,5.3432
rage,235,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.3391
italian singer-songwriter,102,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.334
alternative folk,48,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.3241
milan indie,205,,,,,no_family | no_related_styles | no_transition_styles,5.3219
british invasion,203,,,,,no_family | no_related_styles | no_transition_styles,5.3121
alabama thunderpussy,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
and clutch. in 2011,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
damad,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
early‐2000s underground,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
fistula,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
lamb of god,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
mugwart was a sludge,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
shifty records (sh09,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
skate scene,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
sofa king killer,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
tdr‐13,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
virginia beach,202,,,,,no_family | no_related_styles | no_transition_styles,5.3072
british soul,99,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.3
pagode novo,99,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.3
aggro berlin,199,,,,,no_family | no_related_styles | no_transition_styles,5.2924
afrogospel,98,gospel_spiritual,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.2884
shaabi,98,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.2884
canzone napoletana,197,,,,,no_family | no_related_styles | no_transition_styles,5.2823
classic iskelma,76,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,5.2822
new romantic,196,,,,,no_family | no_related_styles | no_transition_styles,5.2773
melodic metalcore,97,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.2767
nu-metal,96,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.2649
trap tuga,216,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.257
dark ambient,95,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.253
guitar,191,,,,,no_family | no_related_styles | no_transition_styles,5.2516
post-disco,191,,,,,no_family | no_related_styles | no_transition_styles,5.2516
industrial,189,,,,,no_family | no_related_styles | no_transition_styles,5.2411
k-ballad,212,pop,,0.45,fallback,low_primary_weight | low_confidence,5.2389
traditional folk,45,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.2377
crossover prog,188,,,,,no_family | no_related_styles | no_transition_styles,5.2359
rif,188,,,,,no_family | no_related_styles | no_transition_styles,5.2359
california,186,,,,,no_family | no_related_styles | no_transition_styles,5.2252
rap latina,209,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.225
ccm,184,,,,,no_family | no_related_styles | no_transition_styles,5.2145
disco polo,184,,,,,no_family | no_related_styles | no_transition_styles,5.2145
merseybeat,184,,,,,no_family | no_related_styles | no_transition_styles,5.2145
aggro,183,,,,,no_family | no_related_styles | no_transition_styles,5.2091
ansage,183,,,,,no_family | no_related_styles | no_transition_styles,5.2091
chanson francaise,182,,,,,no_family | no_related_styles | no_transition_styles,5.2036
singeli,182,,,,,no_family | no_related_styles | no_transition_styles,5.2036
electrocumbia,203,electronic,latin_tropical,0.45,fallback,low_primary_weight | low_confidence,5.1967
hardcore,90,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.1915
big music,178,,,,,no_family | no_related_styles | no_transition_styles,5.1816
reggae en espanol,198,caribbean,,0.45,fallback,low_primary_weight | low_confidence,5.1724
icelandic singer-songwriter,88,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.1659
cantautor,173,,,,,no_family | no_related_styles | no_transition_styles,5.1533
childrens music,173,,,,,no_family | no_related_styles | no_transition_styles,5.1533
swedish singer-songwriter,87,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.1529
highlife,194,african,,0.45,fallback,low_primary_weight | low_confidence,5.1526
post-britpop,194,pop,rock,0.45,fallback,low_primary_weight | low_confidence,5.1526
polish alternative,68,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,5.1488
fotbollslatar,170,,,,,no_family | no_related_styles | no_transition_styles,5.1359
pop venezolano,190,pop,,0.45,fallback,low_primary_weight | low_confidence,5.1323
j-poprock,47,pop,rock | world_asian,0.45,fallback,many_families | low_primary_weight | low_confidence,5.1278
flamenco,167,,,,,no_family | no_related_styles | no_transition_styles,5.1182
neoclassical,41,classical,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.1132
lofi indie,165,,,,,no_family | no_related_styles | no_transition_styles,5.1062
swedish eurodance,165,,,,,no_family | no_related_styles | no_transition_styles,5.1062
australian indie,164,,,,,no_family | no_related_styles | no_transition_styles,5.1002
tamil indie,83,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.0993
shoegaze,183,rock,,0.45,fallback,low_primary_weight | low_confidence,5.0958
dakke dak,162,,,,,no_family | no_related_styles | no_transition_styles,5.088
folktronica,82,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.0856
icelandic electronic,82,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.0856
italo dance,161,,,,,no_family | no_related_styles | no_transition_styles,5.0819
experimental electronic,40,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,5.0803
boogie,160,,,,,no_family | no_related_styles | no_transition_styles,5.0757
post-metal,81,metal,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.0716
latin talent show,159,,,,,no_family | no_related_styles | no_transition_styles,5.0695
germany,158,,,,,no_family | no_related_styles | no_transition_styles,5.0632
synth funk,158,,,,,no_family | no_related_styles | no_transition_styles,5.0632
the lost generation,158,,,,,no_family | no_related_styles | no_transition_styles,5.0632
hip hop soul,176,hip_hop,rnb_soul,0.45,fallback,low_primary_weight | low_confidence,5.0579
video game,157,,,,,no_family | no_related_styles | no_transition_styles,5.0569
trap chileno,174,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.0468
dub,155,,,,,no_family | no_related_styles | no_transition_styles,5.0442
retro soul,79,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,5.0432
deutschrap,173,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.0412
post-bop,154,,,,,no_family | no_related_styles | no_transition_styles,5.0378
singers,154,,,,,no_family | no_related_styles | no_transition_styles,5.0378
swedish electropop,172,electronic,pop,0.45,fallback,low_primary_weight | low_confidence,5.0356
drill espanol,171,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,5.0299
indie poptimism,171,pop,,0.45,fallback,low_primary_weight | low_confidence,5.0299
crunk,152,,,,,no_family | no_related_styles | no_transition_styles,5.0248
russian dance,152,,,,,no_family | no_related_styles | no_transition_styles,5.0248
glitch,151,,,,,no_family | no_related_styles | no_transition_styles,5.0182
luk thung,151,,,,,no_family | no_related_styles | no_transition_styles,5.0182
mellow gold,150,,,,,no_family | no_related_styles | no_transition_styles,5.0116
taiwanese indie,150,,,,,no_family | no_related_styles | no_transition_styles,5.0116
australian dance,149,,,,,no_family | no_related_styles | no_transition_styles,5.005
basshall,149,,,,,no_family | no_related_styles | no_transition_styles,5.005
reggea,149,,,,,no_family | no_related_styles | no_transition_styles,5.005
travis scott,149,,,,,no_family | no_related_styles | no_transition_styles,5.005
game,148,,,,,no_family | no_related_styles | no_transition_styles,4.9983
guitarist,147,,,,,no_family | no_related_styles | no_transition_styles,4.9916
seresta,147,,,,,no_family | no_related_styles | no_transition_styles,4.9916
glam,146,,,,,no_family | no_related_styles | no_transition_styles,4.9848
azontobeats,163,african,,0.45,fallback,low_primary_weight | low_confidence,4.9834
funk ostentacao,144,,,,,no_family | no_related_styles | no_transition_styles,4.9711
australia,143,,,,,no_family | no_related_styles | no_transition_styles,4.9642
german dance,143,,,,,no_family | no_related_styles | no_transition_styles,4.9642
liverpool,143,,,,,no_family | no_related_styles | no_transition_styles,4.9642
mbs-333,143,,,,,no_family | no_related_styles | no_transition_styles,4.9642
stomp and holler,143,,,,,no_family | no_related_styles | no_transition_styles,4.9642
future rave,141,,,,,no_family | no_related_styles | no_transition_styles,4.9503
los angeles,141,,,,,no_family | no_related_styles | no_transition_styles,4.9503
classic mandopop,62,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence | broad_or_marketing_tag,4.9482
uk grime,157,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,4.947
gnawa,140,,,,,no_family | no_related_styles | no_transition_styles,4.9432
noise music,140,,,,,no_family | no_related_styles | no_transition_styles,4.9432
campirano-banda,72,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.9378
norteno-banda,72,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.9378
italian alternative,57,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,4.9376
australian,139,,,,,no_family | no_related_styles | no_transition_styles,4.9361
psychedelia,139,,,,,no_family | no_related_styles | no_transition_styles,4.9361
progressive,138,,,,,no_family | no_related_styles | no_transition_styles,4.9289
old school rap francais,154,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,4.9282
pop flamenco,153,pop,,0.45,fallback,low_primary_weight | low_confidence,4.9219
israeli singer-songwriter,71,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.9219
singaporean singer-songwriter,71,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.9219
ghazal,137,,,,,no_family | no_related_styles | no_transition_styles,4.9217
video game music,137,,,,,no_family | no_related_styles | no_transition_styles,4.9217
complextro,136,,,,,no_family | no_related_styles | no_transition_styles,4.9145
has german audio plays,136,,,,,no_family | no_related_styles | no_transition_styles,4.9145
beat,135,,,,,no_family | no_related_styles | no_transition_styles,4.9071
indian,135,,,,,no_family | no_related_styles | no_transition_styles,4.9071
death by heart attack,134,,,,,no_family | no_related_styles | no_transition_styles,4.8998
slowcore,134,,,,,no_family | no_related_styles | no_transition_styles,4.8998
visual kei,133,,,,,no_family | no_related_styles | no_transition_styles,4.8923
folk-rock,148,country_folk,rock,0.45,fallback,low_primary_weight | low_confidence,4.8897
g-house,148,house,,0.45,fallback,low_primary_weight | low_confidence,4.8897
mambo chileno,148,latin_tropical,latin_urban,0.45,fallback,low_primary_weight | low_confidence,4.8897
russian grime,148,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,4.8897
turbo-folk,69,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.8895
german composer,132,,,,,no_family | no_related_styles | no_transition_styles,4.8849
phleng phuea chiwit,132,,,,,no_family | no_related_styles | no_transition_styles,4.8849
son cubano,132,,,,,no_family | no_related_styles | no_transition_styles,4.8849
abbey road,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
bbc,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
boys band,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
british psychedelia,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
chopped and screwed,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
europe,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
get back,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
indie liguria,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
one beatles,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
overrated,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
the beatles-primal colours,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
the-beatles,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
villancicos,131,,,,,no_family | no_related_styles | no_transition_styles,4.8773
singaporean mandopop,146,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence,4.8765
danish electronic,68,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.873
russian electronic,68,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.873
alternative hip-hop,54,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,4.873
turkish alternative,54,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,4.873
gengetone,130,,,,,no_family | no_related_styles | no_transition_styles,4.8697
hard bop,129,,,,,no_family | no_related_styles | no_transition_styles,4.8621
asian,128,,,,,no_family | no_related_styles | no_transition_styles,4.8544
vietnamese lo-fi,128,,,,,no_family | no_related_styles | no_transition_styles,4.8544
dream-pop,142,pop,,0.45,fallback,low_primary_weight | low_confidence,4.8495
+usa (new york:manhatten,127,,,,,no_family | no_related_styles | no_transition_styles,4.8466
next,127,,,,,no_family | no_related_styles | no_transition_styles,4.8466
seattle,127,,,,,no_family | no_related_styles | no_transition_styles,4.8466
dutch,126,,,,,no_family | no_related_styles | no_transition_styles,4.8387
harana,126,,,,,no_family | no_related_styles | no_transition_styles,4.8387
mollywood,126,,,,,no_family | no_related_styles | no_transition_styles,4.8387
trap antillais,140,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,4.8357
canadian contemporary r & b,125,,,,,no_family | no_related_styles | no_transition_styles,4.8309
gaana,125,,,,,no_family | no_related_styles | no_transition_styles,4.8309
uk funky,125,,,,,no_family | no_related_styles | no_transition_styles,4.8309
classic cantopop,56,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence | broad_or_marketing_tag,4.8287
southern thai music,124,,,,,no_family | no_related_styles | no_transition_styles,4.8229
gen z singer-songwriter,65,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.8218
jam band,123,,,,,no_family | no_related_styles | no_transition_styles,4.8149
japanese,123,,,,,no_family | no_related_styles | no_transition_styles,4.8149
pop edm,137,electronic,pop,0.45,fallback,low_primary_weight | low_confidence,4.8147
drill italiana,136,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,4.8076
austrian composer,122,,,,,no_family | no_related_styles | no_transition_styles,4.8068
neomelodico,122,,,,,no_family | no_related_styles | no_transition_styles,4.8068
gujarati garba,120,,,,,no_family | no_related_styles | no_transition_styles,4.7904
pinoy indie,120,,,,,no_family | no_related_styles | no_transition_styles,4.7904
romanian,120,,,,,no_family | no_related_styles | no_transition_styles,4.7904
ag4,119,,,,,no_family | no_related_styles | no_transition_styles,4.7821
show tunes,119,,,,,no_family | no_related_styles | no_transition_styles,4.7821
rock roll,132,rock,,0.45,fallback,low_primary_weight | low_confidence,4.7787
trap maroc,132,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,4.7787
musica tocantinense,118,,,,,no_family | no_related_styles | no_transition_styles,4.7738
to clean up,118,,,,,no_family | no_related_styles | no_transition_styles,4.7738
vyrzukhisuc-artiest,118,,,,,no_family | no_related_styles | no_transition_styles,4.7738
pop-metal,131,metal,pop,0.45,fallback,low_primary_weight | low_confidence,4.7713
bhajan,117,,,,,no_family | no_related_styles | no_transition_styles,4.7653
soukous,117,,,,,no_family | no_related_styles | no_transition_styles,4.7653
reggae fusion,130,caribbean,,0.45,fallback,low_primary_weight | low_confidence,4.7639
gradually watermelon,116,,,,,no_family | no_related_styles | no_transition_styles,4.7568
indian instrumental,116,,,,,no_family | no_related_styles | no_transition_styles,4.7568
post-emo,128,rock,,0.45,fallback,low_primary_weight | low_confidence,4.7488
brass band,115,,,,,no_family | no_related_styles | no_transition_styles,4.7483
indonesian r & b,115,,,,,no_family | no_related_styles | no_transition_styles,4.7483
nature sounds,115,,,,,no_family | no_related_styles | no_transition_styles,4.7483
crossover,114,,,,,no_family | no_related_styles | no_transition_styles,4.7396
acoustic country,60,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.7311
lithuanian electronic,60,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.7311
mexican,113,,,,,no_family | no_related_styles | no_transition_styles,4.7309
producteur,113,,,,,no_family | no_related_styles | no_transition_styles,4.7309
world fusion,113,,,,,no_family | no_related_styles | no_transition_styles,4.7309
as jailed,112,,,,,no_family | no_related_styles | no_transition_styles,4.7221
death by drug overdose,112,,,,,no_family | no_related_styles | no_transition_styles,4.7221
lil wayne,112,,,,,no_family | no_related_styles | no_transition_styles,4.7221
melodic,112,,,,,no_family | no_related_styles | no_transition_styles,4.7221
symphony,112,,,,,no_family | no_related_styles | no_transition_styles,4.7221
neo-psychedelic,111,,,,,no_family | no_related_styles | no_transition_styles,4.7132
gospel r & b,59,gospel_spiritual,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.7121
philly soul,59,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.7121
swedish soul,59,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.7121
reggae-pop,123,caribbean,pop,0.45,fallback,low_primary_weight | low_confidence,4.7102
lustrum,110,,,,,no_family | no_related_styles | no_transition_styles,4.7042
dark r & b,109,,,,,no_family | no_related_styles | no_transition_styles,4.6952
lullaby,109,,,,,no_family | no_related_styles | no_transition_styles,4.6952
norwegian,109,,,,,no_family | no_related_styles | no_transition_styles,4.6952
pop lgbtq+ brasileira,120,pop,,0.45,fallback,low_primary_weight | low_confidence,4.6863
contemporary rnb,108,,,,,no_family | no_related_styles | no_transition_styles,4.6861
detroit,108,,,,,no_family | no_related_styles | no_transition_styles,4.6861
michael-jackson,108,,,,,no_family | no_related_styles | no_transition_styles,4.6861
polish,108,,,,,no_family | no_related_styles | no_transition_styles,4.6861
rap algerien,119,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,4.6782
austrian,107,,,,,no_family | no_related_styles | no_transition_styles,4.6769
bassline,107,,,,,no_family | no_related_styles | no_transition_styles,4.6769
want to listen,107,,,,,no_family | no_related_styles | no_transition_styles,4.6769
chinese singer-songwriter,57,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,4.6731
